dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,QLoRA fp4,q+k+v,16,2.471628567,2.986431599,0.605849564,0.774138877,0.774605263,300
EN,qwen3,QLoRA fp4,q+k+v,32,2.490838035,3.031750202,0.463253111,0.843126229,0.843815789,300
EN,qwen3,QLoRA fp4,q+k+v+o,4,2.599447858,3.120499134,0.924658656,0.652779279,0.655,300
EN,qwen3,QLoRA fp4,q+k+v+o,8,2.581322551,3.136772633,0.483985931,0.828579321,0.83,300
EN,qwen3,QLoRA fp4,q+k+v+o,16,2.564110545,3.171761036,0.45038259,0.866316507,0.867236842,300
EN,qwen3,QLoRA fp4,q+k+v+o,32,2.578613242,3.233925343,0.459965706,0.879479007,0.880131579,300
EN,qwen3,OGLoRA,q+v,4,33.95765258,2.865855694,0.332519531,0.934425033,0.934473684,15000
EN,qwen3,OGLoRA,q+v,8,36.878303,2.876307964,0.329589844,0.932907838,0.933026316,15000
EN,qwen3,OGLoRA,q+v,16,42.4716623,2.897265911,0.414794922,0.929398534,0.929473684,15000
EN,qwen3,OGLoRA,q+v,32,54.80484737,2.939395428,0.48046875,0.93157827,0.931710526,15000
EN,qwen3,OGLoRA,q+k+v,4,39.29178249,2.874204159,0.328125,0.932542315,0.932631579,15000
EN,qwen3,OGLoRA,q+k+v,8,43.59070208,2.888921261,0.317871094,0.935463063,0.935526316,15000
EN,qwen3,OGLoRA,q+k+v,16,52.16624569,2.918435574,0.354248047,0.930769733,0.930921053,15000
EN,qwen3,OGLoRA,q+k+v,32,69.93470621,2.977784634,0.440429688,0.931536752,0.931578947,15000
EN,qwen3,OGLoRA,q+k+v+o,4,44.65389819,2.880546093,0.336425781,0.933514308,0.933552632,15000
EN,qwen3,OGLoRA,q+k+v+o,8,50.34351115,2.901458263,0.320068359,0.933227289,0.933421053,15000
EN,qwen3,OGLoRA,q+k+v+o,16,62.11783544,2.943389416,0.334228516,0.936155534,0.936184211,15000
EN,qwen3,OGLoRA,q+k+v+o,32,85.85672181,3.027678967,0.347900391,0.933627227,0.933684211,15000
EN,qwen3,OGLoRA,q+v,4,18.9704835,2.865855694,0.3671875,0.927475049,0.9275,8000
EN,qwen3,OGLoRA,q+v,8,20.66438767,2.876307964,0.347412109,0.93163221,0.931710526,8000
EN,qwen3,OGLoRA,q+v,16,23.88007902,2.897265911,0.326416016,0.93152875,0.931578947,8000
EN,qwen3,OGLoRA,q+v,32,30.88622155,2.939395428,0.379882813,0.931208521,0.931184211,8000
EN,qwen3,OGLoRA,q+k+v,4,21.82864742,2.874204159,0.34375,0.929941034,0.93,8000
EN,qwen3,OGLoRA,q+k+v,8,24.42834878,2.888921261,0.360595703,0.93001481,0.93,8000
EN,qwen3,OGLoRA,q+k+v,16,29.33492631,2.918435574,0.555664063,0.924155993,0.924078947,8000
EN,qwen3,OGLoRA,q+k+v,32,27.88955972,2.977784634,0.80859375,0.914762539,0.914868421,8000
EN,qwen3,OGLoRA,q+k+v+o,4,24.95047714,2.880546093,0.338867188,0.928909422,0.928947368,8000
EN,qwen3,OGLoRA,q+k+v+o,8,28.31257977,2.901458263,0.318847656,0.934433987,0.934473684,8000
EN,qwen3,OGLoRA,q+k+v+o,16,35.09168042,2.943389416,0.400634766,0.930066893,0.930131579,8000
