model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
qwen2.5,LoRA,q+k+v,4,2.114945988,5.857680321,1.0703125,0.58549887,0.586447368,300
qwen2.5,LoRA,q+k+v,8,2.117361546,5.861739159,0.841796875,0.661172528,0.663026316,300
qwen2.5,LoRA,q+k+v,16,2.130364859,5.872158527,0.759765625,0.681733305,0.684605263,300
qwen2.5,LoRA,q+k+v,32,2.222808405,5.910610676,0.661132813,0.714323002,0.715131579,300
qwen2.5,LoRA,q+k+v+o,4,2.274140692,6.070815086,1.020507813,0.619552058,0.619210526,300
qwen2.5,LoRA,q+k+v+o,8,2.263597639,6.076582909,0.888183594,0.649389327,0.653157895,300
qwen2.5,LoRA,q+k+v+o,16,2.269257561,6.103142262,0.742675781,0.681274975,0.681052632,300
qwen2.5,LoRA,q+k+v+o,32,2.421983508,6.158684254,0.497070313,0.767359357,0.768157895,300
qwen2.5,QLoRA nf4,q+v,4,6.22876296,3.673868179,1.256037951,0.513377441,0.517236842,300
qwen2.5,QLoRA nf4,q+v,8,6.219463356,3.677229404,1.249480605,0.492672357,0.491578947,300
qwen2.5,QLoRA nf4,q+v,16,6.223477455,3.692489624,1.084926128,0.579569146,0.581184211,300
qwen2.5,QLoRA nf4,q+v,32,6.221866345,3.727432251,0.870759368,0.673352208,0.675657895,300
qwen2.5,QLoRA nf4,q+k+v,4,6.323349941,3.806807041,1.349253178,0.440620322,0.438421053,300
qwen2.5,QLoRA nf4,q+k+v,8,6.315697118,3.81080246,1.345609665,0.486712801,0.489868421,300
qwen2.5,QLoRA nf4,q+k+v,16,6.314875873,3.835308075,1.186769843,0.547730163,0.549078947,300
qwen2.5,QLoRA nf4,q+k+v,32,6.312822179,3.87455368,0.969830632,0.633728682,0.633552632,300
qwen2.5,QLoRA nf4,q+k+v+o,4,6.455938427,3.932173252,1.260585308,0.522967319,0.523157895,300
qwen2.5,QLoRA nf4,q+k+v+o,8,6.450543912,3.945289612,0.887865543,0.655835974,0.661973684,300
qwen2.5,QLoRA nf4,q+k+v+o,16,6.458593965,3.978157043,0.684177518,0.740173838,0.744736842,300
qwen2.5,QLoRA nf4,q+k+v+o,32,6.442093996,4.03754425,0.519461513,0.809593184,0.812105263,300
qwen2.5,QLoRA fp4,q+v,4,6.338238561,3.675589085,1.494569778,0.393374199,0.396184211,300
qwen2.5,QLoRA fp4,q+v,8,6.322135663,3.683654785,1.31310904,0.466196603,0.466842105,300
qwen2.5,QLoRA fp4,q+v,16,6.326731805,3.699325562,1.1377455,0.552035111,0.554342105,300
qwen2.5,QLoRA fp4,q+v,32,6.317749242,3.729995728,0.906766951,0.663788746,0.665657895,300
qwen2.5,QLoRA fp4,q+k+v,4,6.428878486,3.807704926,1.430780172,0.409745629,0.409342105,300
qwen2.5,QLoRA fp4,q+k+v,8,6.42711285,3.817272186,1.336473107,0.494403698,0.497236842,300
qwen2.5,QLoRA fp4,q+k+v,16,6.419760076,3.841106415,1.191130519,0.552205235,0.554342105,300
qwen2.5,QLoRA fp4,q+k+v,32,6.402761436,3.879253387,0.984896183,0.63191333,0.632105263,300
qwen2.5,QLoRA fp4,q+k+v+o,4,6.601041905,3.934013367,1.247728825,0.530627053,0.531578947,300
qwen2.5,QLoRA fp4,q+k+v+o,8,6.579777888,3.947120667,0.863267422,0.672978929,0.679473684,300
qwen2.5,QLoRA fp4,q+k+v+o,16,6.582020132,3.981575012,0.655338466,0.753263903,0.7575,300
qwen2.5,QLoRA fp4,q+k+v+o,32,6.549679585,4.044746399,0.501237214,0.813315731,0.815789474,300
qwen3,baseline,,,18.60313218,1.290887833,0.443603516,0.881535448,0.881710526,30000
qwen3,LoRA,q+v,4,55.68899348,3.047973156,0.297119141,0.936581099,0.936578947,30000
qwen3,LoRA,q+v,8,55.49883924,3.05523634,0.289550781,0.938929297,0.938947368,30000
qwen3,LoRA,q+v,16,55.51304739,3.069762707,0.281005859,0.938532082,0.938552632,30000
qwen3,LoRA,q+v,32,57.60526559,3.098815441,0.260498047,0.941972291,0.941973684,30000
qwen3,LoRA,q+k+v,4,60.56583101,3.190669537,0.294189453,0.938407486,0.938421053,30000
qwen3,LoRA,q+k+v,8,60.64523122,3.200923443,0.284423828,0.940248239,0.940263158,30000
qwen3,LoRA,q+k+v,16,61.37272026,3.221431255,0.274658203,0.942323094,0.942368421,30000
qwen3,LoRA,q+k+v,32,63.1520346,3.26244688,0.450195313,0.938773229,0.938815789,30000
qwen3,LoRA,q+k+v+o,4,66.33633368,3.4684062,0.400878906,0.932738257,0.932763158,30000
qwen3,LoRA,q+k+v+o,8,66.17652339,3.482932568,0.363037109,0.936529345,0.936578947,30000
qwen3,LoRA,q+k+v+o,16,66.9708625,3.511985302,0.261474609,0.943094987,0.943157895,30000
